bin	observed	predicted	residual	idx	good_residual	pvals	pvals_adj	chr	start	end
17_38	-0.483477629147712	-0.19953137636184692	-0.28394625278586505	690	0.28394625278586505	0.030953532597367255	0.7599180894630571	chr17	37089171	38091580
2_141	0.679451048596033	0.41835248470306396	0.26109856389296904	837	0.26109856389296904	0.04214803908255955	0.7692964208777018	chr2	140114801	141115620
1_240	-0.339730478833727	-0.04987534135580063	-0.28985513747792635	76	0.28985513747792635	0.028606728472821072	0.7599180894630571	chr1	239240435	240241440
2_60	-0.046788594880818	0.21604104340076447	-0.26282963828158246	966	0.26282963828158246	0.0411659331391456	0.7692964208777018	chr2	59048381	60049200
9_123	-0.453226001407123	-0.15143407881259918	-0.3017919225945238	1758	0.3017919225945238	0.024429537417959984	0.7599180894630571	chr9	122184587	123186099
7_10	0.89262263002671	0.5628073811531067	0.32981524887360336	1525	0.32981524887360336	0.017005444933399453	0.7599180894630571	chr7	9007849	10008720
3_188	-0.463798091972392	-0.21515344083309174	-0.2486446511393003	1144	0.2486446511393003	0.049975431074476814	0.7692964208777018	chr3	187021132	188021244
3_37	0.297486066003351	0.035328831523656845	0.26215723447969413	1164	0.26215723447969413	0.04154453229828744	0.7692964208777018	chr3	36004069	37004181
3_160	0.316009907821503	0.0470900721848011	0.2689198356367019	1123	0.2689198356367019	0.037897619715375475	0.7601783384892191	chr3	159017968	160018080
2_190	0.474900497890691	0.1689147800207138	0.3059857178699772	882	0.3059857178699772	0.02312270897267434	0.7599180894630571	chr2	189154981	190155800
5_84	0.978667927653343	0.54233318567276	0.436334741980583	1459	0.436334741980583	0.004840860845324975	0.5483343647921157	chr5	83421973	84427056
4_156	-0.64253940029919	-0.2943441569805145	-0.34819524331867546	1266	0.34819524331867546	0.013501684159318069	0.7378582791402806	chr4	155125086	156125892
18_5	-0.513416662945745	-0.24403564631938934	-0.2693810166263556	746	0.2693810166263556	0.03766152967758412	0.7601783384892191	chr18	4003961	5004950
7_68	-0.750977417720808	-0.10563620179891586	-0.6453412159218921	1597	0.6453412159218921	0.0006864831229195159	0.3995742414523881	chr7	67058425	68059296
8_76	-0.526676269059124	-0.1736592948436737	-0.3530169742154503	1715	0.3530169742154503	0.012720725633271592	0.7378582791402806	chr8	75186976	76189468
5_28	0.961675581093333	0.7072052359580994	0.2544703451352336	1428	0.2544703451352336	0.046140970021436994	0.7692964208777018	chr5	27137269	28142352
4_173	0.804360472439065	0.52396559715271	0.2803948752863551	1284	0.2803948752863551	0.032462521134020206	0.7599180894630571	chr4	172138805	173139611
3_77	0.725023026091418	0.4327358901500702	0.2922871359413478	1198	0.2922871359413478	0.02769697283385926	0.7599180894630571	chr3	76008589	77008701
2_213	-0.0701161267559553	0.2181747406721115	-0.2882908674280668	907	0.2882908674280668	0.02920882580768398	0.7599180894630571	chr2	212173841	213174660
3_3	-0.780147219363831	-0.2317172884941101	-0.5484299308697209	1158	0.5484299308697209	0.0015768517815800637	0.3995742414523881	chr3	2000227	3000339
4_63	-0.295852493122734	8.030509343370795e-05	-0.2959327982161677	1339	0.2959327982161677	0.026391071640322446	0.7599180894630571	chr4	62050035	63050841
1_105	1.04916712924368	0.7461522221565247	0.3030149070871553	4	0.3030149070871553	0.024040356498257205	0.7599180894630571	chr1	104104625	105105630
11_113	-0.370745640280485	0.004329979419708252	-0.37507561970019326	273	0.37507561970019326	0.009735326467569872	0.6491925597058437	chr11	112005377	113005424
16_66	0.838534611273024	0.5062990188598633	0.3322355924131607	650	0.3322355924131607	0.016491254661668397	0.7599180894630571	chr16	65256166	66260106
2_146	0.621026496675922	0.24440336227416992	0.3766231344017521	840	0.3766231344017521	0.00955737888678561	0.6491925597058437	chr2	145118901	146119720
6_121	1.00263192075234	0.7504761815071106	0.2521557392452294	1476	0.2521557392452294	0.047626542130273807	0.7692964208777018	chr6	120080641	121081312
3_103	0.778954249148423	0.5012299418449402	0.27772430730348285	1076	0.27772430730348285	0.033648885186327866	0.7599180894630571	chr3	102011527	103011639
8_65	0.99114260893657	0.6987568140029907	0.2923857949335793	1705	0.2923857949335793	0.027660729952240202	0.7599180894630571	chr8	64159553	65162045
2_116	-0.27145524877471	0.1738978773355484	-0.4453531261102584	817	0.4453531261102584	0.00439124374239329	0.5483343647921157	chr2	115094301	116095120
16_8	-0.434465076208091	-0.013573342934250832	-0.42089173327384016	665	0.42089173327384016	0.005738339681218011	0.5483343647921157	chr16	7027588	8031528
2_215	0.676987459984386	0.3961782455444336	0.28080921443995244	909	0.28080921443995244	0.032282488175570494	0.7599180894630571	chr2	214175481	215176300
4_189	-0.979603907480884	-0.4718097746372223	-0.5077941328436617	1298	0.5077941328436617	0.0023170513457781315	0.4193862935858418	chr4	188151717	189152523
2_83	0.67055948591279	0.3884679675102234	0.28209151840256663	989	0.28209151840256663	0.03173203890608012	0.7599180894630571	chr2	82067241	83068060
5_135	0.368810263789718	0.08516354858875275	0.28364671520096524	1388	0.28364671520096524	0.031077865180845175	0.7599180894630571	chr5	134681257	135686340
12_62	1.04943182748708	0.7310571670532227	0.3183746604338573	436	0.3183746604338573	0.019686797339290903	0.7599180894630571	chr12	61390706	62397110
7_123	-0.283784375538912	0.01821780577301979	-0.3020021813119318	1534	0.3020021813119318	0.024362145169433663	0.7599180894630571	chr7	122106385	123107256
10_110	1.04414650941154	0.6168796420097351	0.427266867401805	170	0.427266867401805	0.005346663872953973	0.5483343647921157	chr10	109431750	110435710
5_16	0.913589679174177	0.4025309979915619	0.5110586811826151	1407	0.5110586811826151	0.0022445555169605565	0.4193862935858418	chr5	15076261	16081344
4_132	0.905866613621317	0.6284983158111572	0.2773682978101598	1242	0.2773682978101598	0.033810492665224054	0.7599180894630571	chr4	131105718	132106524
12_11	-0.575088049189351	-0.25296422839164734	-0.32212382079770363	379	0.32212382079770363	0.018760171852009656	0.7599180894630571	chr12	10064051	11070455
1_243	0.475726284595644	0.18249516189098358	0.2932311227046604	79	0.2932311227046604	0.027352279675229033	0.7599180894630571	chr1	242243453	243244458
20_52	-0.708224601169113	-0.29219353199005127	-0.41603106917906174	1030	0.41603106917906174	0.006058943257371444	0.5483343647921157	chr20	51020656	52021060
18_74	-0.642158810923073	-0.3735883831977844	-0.2685704277252886	764	0.2685704277252886	0.03807753063659397	0.7601783384892191	chr18	73072271	74073260
5_8	0.408340043316374	0.1412501186132431	0.2670899247031309	1455	0.2670899247031309	0.03884990398639517	0.7601783384892191	chr5	7035589	8040672
16_27	-0.317608078758731	0.24129801988601685	-0.5589060986447478	622	0.5589060986447478	0.0014331811215891762	0.3995742414523881	chr16	26102467	27106407
8_112	0.783170656311257	0.5253122448921204	0.2578584114191367	1636	0.2578584114191367	0.04405282780730048	0.7692964208777018	chr8	111276724	112279216
11_115	-0.459341089443039	-0.06344499439001083	-0.39589609505302814	275	0.39589609505302814	0.007622101056646573	0.6235898850380293	chr11	114005473	115005520
11_91	0.98462688057729	0.67575603723526	0.30887084334202997	363	0.30887084334202997	0.022267853412130136	0.7599180894630571	chr11	90004321	91004368
6_129	-0.483439076767801	-0.18008261919021606	-0.30335645757758495	1480	0.30335645757758495	0.02393287222232059	0.7599180894630571	chr6	128086017	129086688
7_54	1.08000280524219	0.6341202259063721	0.4458825793358179	1594	0.4458825793358179	0.004366367102417657	0.5483343647921157	chr7	53046217	54047088
17_48	-0.464269290853746	-0.2071910798549652	-0.2570782109987808	697	0.2570782109987808	0.04452478717921982	0.7692964208777018	chr17	47113271	48115680
13_91	0.712211633001467	0.45752018690109253	0.2546914461003744	473	0.2546914461003744	0.04600160534116933	0.7692964208777018	chr13	90132931	91134407
12_79	1.18422098971392	0.5583034753799438	0.6259175143339761	449	0.6259175143339761	0.0008038003361579814	0.3995742414523881	chr12	78499591	79505995
3_165	0.773954848639137	0.42728984355926514	0.34666500507987186	1127	0.34666500507987186	0.013760557244401037	0.7378582791402806	chr3	164018533	165018645
17_10	0.326075240424238	0.07304704189300537	0.25302819853123265	675	0.25302819853123265	0.04706082450010535	0.7692964208777018	chr17	9021691	10024100
7_69	-0.319370702391704	-0.06531810760498047	-0.25405259478672354	1598	0.25405259478672354	0.04640548732671955	0.7692964208777018	chr7	68059297	69060168
14_26	0.325282808743922	0.04873764514923096	0.27654516359469106	483	0.27654516359469106	0.03418731736337352	0.7599180894630571	chr14	25081651	26084916
14_80	-0.334746724943691	-0.06307309865951538	-0.27167362628417563	530	0.27167362628417563	0.036510738952306346	0.7601783384892191	chr14	79258015	80261280
